Problem Size,Algorithm,Trial,Number of Colors,Conflicts,Valid Solution
15,Genetic Algorithm,1,4,4,False
15,Genetic Algorithm,2,4,4,False
15,Genetic Algorithm,3,3,3,False
15,Genetic Algorithm,4,3,3,False
15,Genetic Algorithm,5,4,4,False
15,Genetic Algorithm,6,3,3,False
15,Genetic Algorithm,7,3,3,False
15,Genetic Algorithm,8,4,4,False
15,Genetic Algorithm,9,4,4,False
15,Genetic Algorithm,10,4,4,False
15,Genetic Algorithm,11,3,3,False
15,Genetic Algorithm,12,3,3,False
15,Genetic Algorithm,13,4,4,False
15,Genetic Algorithm,14,4,4,False
15,Genetic Algorithm,15,4,4,False
15,Hill Climbing,1,4,4,False
15,Hill Climbing,2,4,4,False
15,Hill Climbing,3,3,3,False
15,Hill Climbing,4,3,3,False
15,Hill Climbing,5,4,4,False
15,Hill Climbing,6,3,3,False
15,Hill Climbing,7,3,3,False
15,Hill Climbing,8,4,4,False
15,Hill Climbing,9,4,4,False
15,Hill Climbing,10,4,4,False
15,Hill Climbing,11,3,3,False
15,Hill Climbing,12,3,3,False
15,Hill Climbing,13,4,4,False
15,Hill Climbing,14,4,4,False
15,Hill Climbing,15,4,4,False
15,Simulated Annealing,1,4,4,False
15,Simulated Annealing,2,4,4,False
15,Simulated Annealing,3,3,3,False
15,Simulated Annealing,4,3,3,False
15,Simulated Annealing,5,4,4,False
15,Simulated Annealing,6,3,3,False
15,Simulated Annealing,7,3,3,False
15,Simulated Annealing,8,4,4,False
15,Simulated Annealing,9,4,4,False
15,Simulated Annealing,10,4,4,False
15,Simulated Annealing,11,3,3,False
15,Simulated Annealing,12,3,3,False
15,Simulated Annealing,13,4,4,False
15,Simulated Annealing,14,4,4,False
15,Simulated Annealing,15,4,4,False
20,Genetic Algorithm,1,5,5,False
20,Genetic Algorithm,2,4,4,False
20,Genetic Algorithm,3,4,4,False
20,Genetic Algorithm,4,4,4,False
20,Genetic Algorithm,5,4,4,False
20,Genetic Algorithm,6,4,4,False
20,Genetic Algorithm,7,4,4,False
20,Genetic Algorithm,8,4,4,False
20,Genetic Algorithm,9,4,4,False
20,Genetic Algorithm,10,4,4,False
20,Genetic Algorithm,11,4,4,False
20,Genetic Algorithm,12,5,5,False
20,Genetic Algorithm,13,5,5,False
20,Genetic Algorithm,14,4,4,False
20,Genetic Algorithm,15,4,4,False
20,Hill Climbing,1,5,5,False
20,Hill Climbing,2,4,4,False
20,Hill Climbing,3,4,4,False
20,Hill Climbing,4,4,4,False
20,Hill Climbing,5,4,4,False
20,Hill Climbing,6,4,4,False
20,Hill Climbing,7,4,4,False
20,Hill Climbing,8,4,4,False
20,Hill Climbing,9,4,4,False
20,Hill Climbing,10,4,4,False
20,Hill Climbing,11,4,4,False
20,Hill Climbing,12,5,5,False
20,Hill Climbing,13,5,5,False
20,Hill Climbing,14,4,4,False
20,Hill Climbing,15,4,4,False
20,Simulated Annealing,1,5,5,False
20,Simulated Annealing,2,4,4,False
20,Simulated Annealing,3,4,4,False
20,Simulated Annealing,4,4,4,False
20,Simulated Annealing,5,4,4,False
20,Simulated Annealing,6,4,4,False
20,Simulated Annealing,7,4,4,False
20,Simulated Annealing,8,4,4,False
20,Simulated Annealing,9,4,4,False
20,Simulated Annealing,10,4,4,False
20,Simulated Annealing,11,4,4,False
20,Simulated Annealing,12,5,5,False
20,Simulated Annealing,13,5,5,False
20,Simulated Annealing,14,4,4,False
20,Simulated Annealing,15,4,4,False
30,Genetic Algorithm,1,6,6,False
30,Genetic Algorithm,2,6,6,False
30,Genetic Algorithm,3,5,5,False
30,Genetic Algorithm,4,5,5,False
30,Genetic Algorithm,5,5,5,False
30,Genetic Algorithm,6,6,6,False
30,Genetic Algorithm,7,5,5,False
30,Genetic Algorithm,8,6,6,False
30,Genetic Algorithm,9,5,5,False
30,Genetic Algorithm,10,6,6,False
30,Genetic Algorithm,11,5,5,False
30,Genetic Algorithm,12,6,6,False
30,Genetic Algorithm,13,5,5,False
30,Genetic Algorithm,14,6,6,False
30,Genetic Algorithm,15,5,5,False
30,Hill Climbing,1,6,6,False
30,Hill Climbing,2,6,6,False
30,Hill Climbing,3,5,5,False
30,Hill Climbing,4,5,5,False
30,Hill Climbing,5,5,5,False
30,Hill Climbing,6,6,6,False
30,Hill Climbing,7,5,5,False
30,Hill Climbing,8,6,6,False
30,Hill Climbing,9,5,5,False
30,Hill Climbing,10,6,6,False
30,Hill Climbing,11,5,5,False
30,Hill Climbing,12,6,6,False
30,Hill Climbing,13,5,5,False
30,Hill Climbing,14,6,6,False
30,Hill Climbing,15,5,5,False
30,Simulated Annealing,1,6,6,False
30,Simulated Annealing,2,6,6,False
30,Simulated Annealing,3,5,5,False
30,Simulated Annealing,4,5,5,False
30,Simulated Annealing,5,5,5,False
30,Simulated Annealing,6,6,6,False
30,Simulated Annealing,7,5,5,False
30,Simulated Annealing,8,6,6,False
30,Simulated Annealing,9,5,5,False
30,Simulated Annealing,10,6,6,False
30,Simulated Annealing,11,5,5,False
30,Simulated Annealing,12,6,6,False
30,Simulated Annealing,13,5,5,False
30,Simulated Annealing,14,6,6,False
30,Simulated Annealing,15,5,5,False
