Problem Size,Algorithm,Trial,Distance
10,ACO,1,290.3067737777875
10,ACO,2,289.5417557776595
10,ACO,3,293.6165173730022
10,ACO,4,298.3431300939827
10,ACO,5,274.4156920015814
10,ACO,6,275.473578032235
10,ACO,7,296.71122576520986
10,ACO,8,251.350222529915
10,ACO,9,232.34438702876903
10,ACO,10,308.39682352419436
10,ACO,11,265.67365547719254
10,ACO,12,303.0706223695159
10,ACO,13,217.15725862856988
10,ACO,14,297.18709626787677
10,ACO,15,190.18904389435147
10,ACO,16,232.8591219821309
10,ACO,17,239.95620790501124
10,ACO,18,287.0417728669375
10,ACO,19,317.24733785931426
10,ACO,20,235.1534540512653
10,Genetic Algorithm,1,290.30677377778755
10,Genetic Algorithm,2,289.5417557776595
10,Genetic Algorithm,3,293.61651737300224
10,Genetic Algorithm,4,298.3431300939828
10,Genetic Algorithm,5,274.4156920015815
10,Genetic Algorithm,6,275.473578032235
10,Genetic Algorithm,7,296.71122576521
10,Genetic Algorithm,8,251.350222529915
10,Genetic Algorithm,9,232.34438702876903
10,Genetic Algorithm,10,308.39682352419436
10,Genetic Algorithm,11,265.6736554771926
10,Genetic Algorithm,12,309.31256718798375
10,Genetic Algorithm,13,217.1572586285699
10,Genetic Algorithm,14,295.85086769511855
10,Genetic Algorithm,15,231.54776982005382
10,Genetic Algorithm,16,244.2770288424515
10,Genetic Algorithm,17,289.93690687057995
10,Genetic Algorithm,18,288.6810952592155
10,Genetic Algorithm,19,317.24733785931426
10,Genetic Algorithm,20,235.15345405126533
10,Hill Climbing (2-opt),1,290.3067737777875
10,Hill Climbing (2-opt),2,289.54175577765955
10,Hill Climbing (2-opt),3,293.6165173730022
10,Hill Climbing (2-opt),4,298.79534654368524
10,Hill Climbing (2-opt),5,280.12644498472696
10,Hill Climbing (2-opt),6,275.4735780322351
10,Hill Climbing (2-opt),7,296.71122576521
10,Hill Climbing (2-opt),8,251.350222529915
10,Hill Climbing (2-opt),9,232.34438702876903
10,Hill Climbing (2-opt),10,311.5934119721731
10,Hill Climbing (2-opt),11,265.67365547719254
10,Hill Climbing (2-opt),12,310.23870552909744
10,Hill Climbing (2-opt),13,225.89425079160029
10,Hill Climbing (2-opt),14,300.46582518107493
10,Hill Climbing (2-opt),15,190.18904389435147
10,Hill Climbing (2-opt),16,232.8591219821309
10,Hill Climbing (2-opt),17,241.11782971266882
10,Hill Climbing (2-opt),18,288.68109525921557
10,Hill Climbing (2-opt),19,317.24733785931426
10,Hill Climbing (2-opt),20,235.1534540512653
15,ACO,1,320.52566566960746
15,ACO,2,348.6170216223929
15,ACO,3,309.0702220799014
15,ACO,4,332.5749752317066
15,ACO,5,298.53814104732777
15,ACO,6,318.8943362040076
15,ACO,7,342.48326704457645
15,ACO,8,333.8123363453492
15,ACO,9,334.597650378757
15,ACO,10,337.4797098647086
15,ACO,11,307.6552847017879
15,ACO,12,346.8964416659054
15,ACO,13,318.6020494286158
15,ACO,14,357.71624970711474
15,ACO,15,246.60585279897458
15,ACO,16,384.3147520255436
15,ACO,17,339.6326004029627
15,ACO,18,300.4020159382379
15,ACO,19,383.77367489444765
15,ACO,20,275.60376850656274
15,Genetic Algorithm,1,394.0166541420618
15,Genetic Algorithm,2,384.9432632322735
15,Genetic Algorithm,3,344.21070234483204
15,Genetic Algorithm,4,400.1582732202031
15,Genetic Algorithm,5,298.5381410473278
15,Genetic Algorithm,6,335.9594680238477
15,Genetic Algorithm,7,342.4832670445765
15,Genetic Algorithm,8,336.58068035005914
15,Genetic Algorithm,9,372.1134299954435
15,Genetic Algorithm,10,410.63814889501754
15,Genetic Algorithm,11,379.19797456087656
15,Genetic Algorithm,12,425.6233515281207
15,Genetic Algorithm,13,344.53055175380644
15,Genetic Algorithm,14,385.3120331143642
15,Genetic Algorithm,15,313.80341579446446
15,Genetic Algorithm,16,388.1996409025762
15,Genetic Algorithm,17,342.93364136194594
15,Genetic Algorithm,18,306.9327296125982
15,Genetic Algorithm,19,410.1652452469423
15,Genetic Algorithm,20,275.60376850656274
15,Hill Climbing (2-opt),1,320.5256656696074
15,Hill Climbing (2-opt),2,363.45210798031195
15,Hill Climbing (2-opt),3,309.0702220799014
15,Hill Climbing (2-opt),4,338.8057873548903
15,Hill Climbing (2-opt),5,298.5381410473278
15,Hill Climbing (2-opt),6,320.36728701579506
15,Hill Climbing (2-opt),7,343.94780812917094
15,Hill Climbing (2-opt),8,333.8123363453492
15,Hill Climbing (2-opt),9,348.48056575821386
15,Hill Climbing (2-opt),10,337.47970986470864
15,Hill Climbing (2-opt),11,307.65528470178793
15,Hill Climbing (2-opt),12,346.8964416659054
15,Hill Climbing (2-opt),13,318.6020494286158
15,Hill Climbing (2-opt),14,395.8961614141271
15,Hill Climbing (2-opt),15,246.60585279897458
15,Hill Climbing (2-opt),16,385.6068976868259
15,Hill Climbing (2-opt),17,354.97671134540144
15,Hill Climbing (2-opt),18,300.402015938238
15,Hill Climbing (2-opt),19,383.77367489444765
15,Hill Climbing (2-opt),20,275.60376850656274
20,ACO,1,388.3947455708858
20,ACO,2,375.183328003273
20,ACO,3,364.7081224228515
20,ACO,4,347.01461148512874
20,ACO,5,366.8979029891381
20,ACO,6,360.0563963411261
20,ACO,7,407.76844624649607
20,ACO,8,377.07236291845084
20,ACO,9,377.18527639236777
20,ACO,10,363.5664400289566
20,ACO,11,376.07106012242735
20,ACO,12,358.6103991913276
20,ACO,13,361.1623467825556
20,ACO,14,391.9964250359063
20,ACO,15,327.2710447632744
20,ACO,16,417.09374817272754
20,ACO,17,388.4941340910989
20,ACO,18,345.4458406527842
20,ACO,19,421.8119513296356
20,ACO,20,305.44603825668133
20,Genetic Algorithm,1,478.64885801122796
20,Genetic Algorithm,2,440.34570333599936
20,Genetic Algorithm,3,619.1536848971206
20,Genetic Algorithm,4,463.5030635314424
20,Genetic Algorithm,5,536.641431254726
20,Genetic Algorithm,6,440.46633852929403
20,Genetic Algorithm,7,535.1806253828844
20,Genetic Algorithm,8,403.25734321813815
20,Genetic Algorithm,9,459.2407621858756
20,Genetic Algorithm,10,421.7118634578671
20,Genetic Algorithm,11,525.164741195207
20,Genetic Algorithm,12,457.0599589638953
20,Genetic Algorithm,13,392.6545442685318
20,Genetic Algorithm,14,431.34310757224097
20,Genetic Algorithm,15,442.33337009971905
20,Genetic Algorithm,16,474.8042451367816
20,Genetic Algorithm,17,459.6612918091488
20,Genetic Algorithm,18,443.7894575816157
20,Genetic Algorithm,19,613.759514052834
20,Genetic Algorithm,20,513.8317128370729
20,Hill Climbing (2-opt),1,386.62667700610024
20,Hill Climbing (2-opt),2,399.3796052109932
20,Hill Climbing (2-opt),3,368.795729150325
20,Hill Climbing (2-opt),4,353.2454236083124
20,Hill Climbing (2-opt),5,384.21860059340736
20,Hill Climbing (2-opt),6,373.28821411069765
20,Hill Climbing (2-opt),7,408.22445798984955
20,Hill Climbing (2-opt),8,398.2723880660944
20,Hill Climbing (2-opt),9,400.7950174946096
20,Hill Climbing (2-opt),10,363.56644002895666
20,Hill Climbing (2-opt),11,404.5827968569137
20,Hill Climbing (2-opt),12,358.61039919132764
20,Hill Climbing (2-opt),13,371.5179954728883
20,Hill Climbing (2-opt),14,403.08566873962405
20,Hill Climbing (2-opt),15,329.0737865668552
20,Hill Climbing (2-opt),16,433.33798566388833
20,Hill Climbing (2-opt),17,388.4941340910989
20,Hill Climbing (2-opt),18,347.9782495102456
20,Hill Climbing (2-opt),19,425.0653690624
20,Hill Climbing (2-opt),20,305.4460382566814
30,ACO,1,455.05659944381773
30,ACO,2,455.700670374687
30,ACO,3,429.00565477042767
30,ACO,4,452.5948320757967
30,ACO,5,412.4083775270366
30,ACO,6,453.5960728745052
30,ACO,7,478.04054621027757
30,ACO,8,490.5710925958458
30,ACO,9,432.38717052728117
30,ACO,10,419.82588544603556
30,ACO,11,441.6290312968879
30,ACO,12,463.28720386824693
30,ACO,13,447.99326141015325
30,ACO,14,510.6375936545627
30,ACO,15,397.024079403822
30,ACO,16,464.44675408792205
30,ACO,17,430.0185777984144
30,ACO,18,404.28200163886896
30,ACO,19,452.3851881744228
30,ACO,20,358.6541363510079
30,Genetic Algorithm,1,803.196199548089
30,Genetic Algorithm,2,708.0641622772464
30,Genetic Algorithm,3,772.8953944063016
30,Genetic Algorithm,4,714.235499487564
30,Genetic Algorithm,5,645.9202217129413
30,Genetic Algorithm,6,674.3102391417697
30,Genetic Algorithm,7,647.3446359171955
30,Genetic Algorithm,8,666.8045476910576
30,Genetic Algorithm,9,673.3037490513045
30,Genetic Algorithm,10,600.7234878016654
30,Genetic Algorithm,11,718.8378756290456
30,Genetic Algorithm,12,577.8857235299712
30,Genetic Algorithm,13,666.5062283497863
30,Genetic Algorithm,14,844.212109997392
30,Genetic Algorithm,15,717.0699668714101
30,Genetic Algorithm,16,689.1322410824747
30,Genetic Algorithm,17,609.326387836921
30,Genetic Algorithm,18,608.4429103390612
30,Genetic Algorithm,19,696.8576912961835
30,Genetic Algorithm,20,791.2623783631896
30,Hill Climbing (2-opt),1,497.74066518447495
30,Hill Climbing (2-opt),2,455.700670374687
30,Hill Climbing (2-opt),3,471.847948956327
30,Hill Climbing (2-opt),4,460.23272506001814
30,Hill Climbing (2-opt),5,428.68804778915387
30,Hill Climbing (2-opt),6,461.5350858704529
30,Hill Climbing (2-opt),7,494.608662494533
30,Hill Climbing (2-opt),8,519.3727903878028
30,Hill Climbing (2-opt),9,432.4830151404385
30,Hill Climbing (2-opt),10,424.08967937286275
30,Hill Climbing (2-opt),11,476.49000676374715
30,Hill Climbing (2-opt),12,486.7816020093772
30,Hill Climbing (2-opt),13,454.76590116806983
30,Hill Climbing (2-opt),14,552.639165649731
30,Hill Climbing (2-opt),15,396.6762401812028
30,Hill Climbing (2-opt),16,505.8947229229292
30,Hill Climbing (2-opt),17,430.0185777984143
30,Hill Climbing (2-opt),18,404.6114756940903
30,Hill Climbing (2-opt),19,467.0845678627264
30,Hill Climbing (2-opt),20,371.1661858394798
