Problem Size,Algorithm,Mean Distance,Std Distance,Min Distance,Max Distance
10,ACO,269.80178386032514,34.051659550051546,190.18904389435147,317.24733785931426
10,Genetic Algorithm,275.26690237980415,29.12186103244607,217.1572586285699,317.24733785931426
10,Hill Climbing (2-opt),271.3689991761538,34.18755872068424,190.18904389435147,317.24733785931426
15,ACO,326.88980077792445,31.980581708859113,246.60585279897458,384.3147520255436
15,Genetic Algorithm,359.597219033895,40.491241870290814,275.60376850656274,425.6233515281207
15,Hill Climbing (2-opt),331.5249244813082,36.07022709139866,246.60585279897458,395.8961614141271
20,ACO,371.06253103985466,27.51883129404939,305.44603825668133,421.8119513296356
20,Genetic Algorithm,477.6275808660811,60.581028750383105,392.6545442685318,619.1536848971206
20,Hill Climbing (2-opt),380.1802488335635,30.77976573323513,305.4460382566814,433.33798566388833
30,ACO,442.47723647650093,33.34263991713116,358.6541363510079,510.6375936545627
30,Genetic Algorithm,691.3165825165286,69.02491821820483,577.8857235299712,844.212109997392
30,Hill Climbing (2-opt),459.62138682602597,42.98606910720899,371.1661858394798,552.639165649731
